Mjesto,Ulica,Adresa ključ,Preostalo CIJEPANO m3,Isporučeno CIJEPANO m3,Preostalo U DUGOM m3,Isporučeno U DUGOM m3,Preostalo RVI m3,Isporučeno RVI m3,Preostalo PORODICE ŠEHIDA m3,Isporučeno PORODICE ŠEHIDA m3,Preostalo SINDIKAT m3,Isporučeno SINDIKAT m3,Preostalo ukupno m3,Adresa za kartu,Lat,Lng
Bosanska Krupa,101 Muslimanska,Bosanska Krupa|101 MUSLIMANSKA,17.5,0.0,7.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,39.5,"101 Muslimanska, Bosanska Krupa, Bosna i Hercegovina",,
Bosanska Krupa,Unska Bb Halkići,Bosanska Krupa|UNSKA,17.5,31.5,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,37.5,"Unska Bb Halkići, Bosanska Krupa, Bosna i Hercegovina",,
Bosanska Krupa,Sokak,Bosanska Krupa|SOKAK,24.5,62.5,0.0,0.0,5.0,5.0,7.0,0.0,0.0,0.0,36.5,"Sokak, Bosanska Krupa, Bosna i Hercegovina",,
Bosanska Krupa,Proleterska,Bosanska Krupa|PROLETERSKA,31.5,45.5,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,35.0,"Proleterska, Bosanska Krupa, Bosna i Hercegovina",,
Bosanska Otoka,Unska,Bosanska Otoka|UNSKA,28.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,35.0,"Unska, Bosanska Otoka, Bosna i Hercegovina",,
Bosanska Krupa,Ostružnica,Bosanska Krupa|OSTRUZNICA,7.0,0.0,7.0,7.0,5.0,7.0,14.0,0.0,0.0,0.0,33.0,"Ostružnica, Bosanska Krupa, Bosna i Hercegovina",,
Bosanska Krupa,Tećija,Bosanska Krupa|TECIJA,21.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,31.0,"Tećija, Bosanska Krupa, Bosna i Hercegovina",,
Bosanska Krupa,Bihaćka,Bosanska Krupa|BIHACKA,14.0,8.5,0.0,7.0,10.0,0.0,7.0,0.0,0.0,0.0,31.0,"Bihaćka, Bosanska Krupa, Bosna i Hercegovina",,
Bosanska Krupa,505. Viteška,Bosanska Krupa|505 VITESKA,28.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,"505. Viteška, Bosanska Krupa, Bosna i Hercegovina",,
Bosanska Otoka,Podmračajska,Bosanska Otoka|PODMRACAJSKA,28.0,7.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,28.0,"Podmračajska, Bosanska Otoka, Bosna i Hercegovina",,
Bosanska Otoka,Otočki Heroja,Bosanska Otoka|OTOCKIH HEROJA,28.0,40.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,"Otočki Heroja, Bosanska Otoka, Bosna i Hercegovina",,
Bosanska Krupa,Zahum,Bosanska Krupa|ZAHUM,21.0,3.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,"Zahum, Bosanska Krupa, Bosna i Hercegovina",,
Bosanska Krupa,511 Slavna,Bosanska Krupa|511 SLAVNA,17.5,48.5,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,27.5,"511 Slavna, Bosanska Krupa, Bosna i Hercegovina",,
Bosanska Otoka,Otočkog Bataljona,Bosanska Otoka|OTOC BATALJON,21.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,26.0,"Otočkog Bataljona, Bosanska Otoka, Bosna i Hercegovina",,
